"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 22","1,595.33","1,589.01","1,595.84","1,584.20","","1.14%"
"2023- 03- 21","1,577.37","1,582.94","1,584.20","1,572.06","","0.60%"
"2023- 03- 20","1,568.02","1,583.95","1,590.78","1,568.02","","-1.08%"
"2023- 03- 17","1,585.21","1,582.94","1,587.49","1,571.81","","1.23%"
"2023- 03- 16","1,565.99","1,552.08","1,569.79","1,546.27","","-0.16%"
"2023- 03- 15","1,568.52","1,567.76","1,581.17","1,563.21","","1.04%"
"2023- 03- 14","1,552.34","1,573.33","1,573.83","1,548.54","","-2.31%"
"2023- 03- 13","1,589.01","1,584.46","1,593.06","1,564.73","","0.90%"
"2023- 03- 10","1,574.85","1,574.85","1,581.93","1,568.02","","-1.13%"
"2023- 03- 09","1,592.80","1,606.58","1,609.18","1,592.17","","-0.25%"
"2023- 03- 08","1,596.79","1,604.39","1,608.02","1,596.18","","-1.58%"
"2023- 03- 07","1,622.49","1,626.54","1,635.71","1,621.14","","-0.52%"
"2023- 03- 06","1,630.94","1,623.21","1,631.79","1,615.73","","1.28%"
"2023- 03- 03","1,610.33","1,615.93","1,616.94","1,601.95","","0.48%"
"2023- 03- 02","1,602.71","1,602.20","1,620.50","1,597.12","","-0.16%"
"2023- 02- 28","1,605.25","1,605.76","1,615.93","1,597.12","","0.57%"
"2023- 02- 27","1,596.10","1,596.10","1,598.64","1,583.14","","-1.16%"
"2023- 02- 24","1,614.91","1,623.80","1,633.72","1,611.35","","-0.75%"
"2023- 02- 23","1,627.11","1,614.91","1,633.46","1,613.13","","1.23%"
"2023- 02- 22","1,607.28","1,616.69","1,620.75","1,605.51","","-1.80%"
"2023- 02- 21","1,636.77","1,637.27","1,642.36","1,626.85","","-0.37%"
"2023- 02- 20","1,642.87","1,632.45","1,643.37","1,617.45","","0.51%"
"2023- 02- 17","1,634.48","1,629.14","1,646.93","1,627.62","","-0.79%"
"2023- 02- 16","1,647.44","1,627.62","1,651.25","1,625.33","","2.11%"
"2023- 02- 15","1,613.38","1,649.22","1,650.49","1,613.38","","-2.29%"
"2023- 02- 14","1,651.25","1,650.49","1,658.62","1,643.37","","0.70%"
"2023- 02- 13","1,639.82","1,636.77","1,642.36","1,625.58","","-0.35%"
"2023- 02- 10","1,645.66","1,642.10","1,648.71","1,634.48","","-0.34%"
"2023- 02- 09","1,651.25","1,649.22","1,658.62","1,643.12","","-0.46%"
"2023- 02- 08","1,658.88","1,645.15","1,662.94","1,642.36","","1.57%"
"2023- 02- 07","1,633.21","1,624.82","1,637.27","1,619.74","","0.78%"
"2023- 02- 06","1,620.50","1,645.15","1,649.98","1,620.50","","-2.22%"
"2023- 02- 03","1,657.35","1,647.19","1,665.74","1,644.39","","0.29%"
"2023- 02- 02","1,652.52","1,660.66","1,666.50","1,641.34","","0.70%"
"2023- 02- 01","1,641.09","1,632.45","1,641.09","1,625.08","","1.32%"
"2023- 01- 31","1,619.74","1,646.68","1,648.71","1,617.20","","-1.61%"
"2023- 01- 30","1,646.17","1,671.84","1,676.67","1,644.39","","-1.49%"
"2023- 01- 27","1,671.08","1,661.93","1,683.28","1,655.83","","0.64%"
"2023- 01- 26","1,660.40","1,638.55","1,661.42","1,634.48","","1.27%"
"2023- 01- 25","1,639.56","1,633.97","1,642.10","1,632.19","","1.80%"
"2023- 01- 20","1,610.59","1,604.49","1,612.37","1,595.34","","0.67%"
"2023- 01- 19","1,599.91","1,583.39","1,602.71","1,583.39","","0.33%"
"2023- 01- 18","1,594.58","1,601.95","1,603.73","1,582.89","","-0.59%"
"2023- 01- 17","1,603.98","1,614.65","1,616.94","1,600.17","","-0.68%"
"2023- 01- 16","1,614.91","1,604.74","1,622.79","1,604.49","","0.76%"
"2023- 01- 13","1,602.71","1,596.61","1,612.11","1,594.32","","0.64%"
"2023- 01- 12","1,592.54","1,597.12","1,597.37","1,582.38","","0.42%"
