"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 16","13.95","13.30","14.35","13.15","108.26K","5.87%"
"2024- 01- 12","13.18","13.01","13.45","12.95","70.15K","1.00%"
"2024- 01- 11","13.05","13.25","13.75","12.95","109.26K","-2.20%"
"2024- 01- 10","13.35","13.45","13.51","13.20","76.12K","-0.44%"
"2024- 01- 09","13.40","13.88","14.05","13.35","70.33K","-2.85%"
"2024- 01- 08","13.80","14.15","14.50","13.60","87.25K","-2.86%"
"2024- 01- 05","14.20","14.65","15.05","13.95","104.20K","-3.13%"
"2024- 01- 04","14.66","14.70","14.80","14.35","77.22K","-0.26%"
"2024- 01- 03","14.70","14.13","14.95","14.10","112.10K","4.24%"
"2024- 01- 02","14.10","14.25","14.80","13.90","105.59K","0.36%"
"2023- 12- 29","14.05","14.00","14.45","13.85","63.21K","0.48%"
"2023- 12- 28","13.98","13.95","14.20","13.90","42.20K","-0.07%"
"2023- 12- 27","13.99","14.60","14.65","13.95","62.38K","-4.20%"
"2023- 12- 26","14.61","15.05","15.15","14.55","42.73K","-2.87%"
"2023- 12- 22","15.04","15.45","15.75","15.00","72.14K","-2.62%"
"2023- 12- 21","15.44","15.75","15.95","15.30","106.59K","25.44%"
"2023- 12- 20","12.31","12.55","12.60","12.38","1.84K","-0.80%"
"2023- 12- 19","12.41","12.50","12.65","12.25","59.04K","-0.07%"
"2023- 12- 18","12.42","12.55","12.60","12.30","51.95K","-0.38%"
"2023- 12- 15","12.46","12.34","12.80","12.20","83.18K","1.30%"
"2023- 12- 14","12.30","12.20","12.65","11.96","83.38K","0.99%"
"2023- 12- 13","12.18","12.36","12.55","12.10","80.27K","-1.77%"
"2023- 12- 12","12.40","12.90","13.00","12.25","75.43K","-4.20%"
"2023- 12- 11","12.95","13.33","13.35","12.90","64.65K","-2.96%"
"2023- 12- 08","13.34","13.85","13.87","13.30","68.22K","-2.96%"
"2023- 12- 07","13.75","13.80","13.90","13.58","49.40K","0.08%"
"2023- 12- 06","13.74","13.65","13.85","13.40","65.44K","0.54%"
"2023- 12- 05","13.66","13.90","14.05","13.65","63.42K","-1.00%"
"2023- 12- 04","13.80","13.60","14.30","13.60","81.38K","0.75%"
"2023- 12- 01","13.70","13.80","13.85","13.50","58.36K","-0.43%"
"2023- 11- 30","13.76","14.00","14.15","13.70","61.99K","-1.73%"
"2023- 11- 29","14.00","13.85","14.10","13.65","67.46K","1.56%"
"2023- 11- 28","13.78","13.90","14.10","13.65","65.31K","-1.21%"
"2023- 11- 27","13.95","13.90","14.20","13.85","46.29K","0.75%"
"2023- 11- 24","13.85","14.60","14.65","13.80","47.37K","-4.90%"
"2023- 11- 22","14.56","14.45","14.75","14.25","58.07K","0.76%"
"2023- 11- 21","14.45","14.75","14.95","14.40","63.62K","-2.19%"
"2023- 11- 20","14.78","14.90","15.00","14.60","48.49K","-0.86%"
"2023- 11- 17","14.90","15.16","15.25","14.85","51.36K","-1.60%"
"2023- 11- 16","15.15","15.35","15.50","15.10","73.37K","6.51%"
"2023- 11- 15","14.22","14.19","14.35","14.05","1.96K","-0.35%"
"2023- 11- 14","14.27","14.85","15.05","14.05","83.44K","-3.60%"
"2023- 11- 13","14.80","15.20","15.40","14.60","60.44K","-0.64%"
"2023- 11- 10","14.90","15.84","15.91","14.85","75.62K","-6.22%"
"2023- 11- 09","15.89","15.23","16.06","14.86","82.99K","5.15%"
"2023- 11- 08","15.11","15.50","15.70","15.05","67.70K","-2.53%"
"2023- 11- 07","15.50","15.70","15.97","15.40","60.43K","-0.92%"
"2023- 11- 06","15.65","16.10","16.18","15.59","80.19K","-3.13%"
"2023- 11- 03","16.15","16.65","16.80","15.98","79.85K","-2.44%"
"2023- 11- 02","16.56","17.35","17.38","16.55","87.60K","-4.30%"
"2023- 11- 01","17.30","18.25","18.40","17.15","111.88K","-4.56%"
"2023- 10- 31","18.13","19.70","19.85","18.05","111.13K","-7.47%"
"2023- 10- 30","19.59","20.90","21.23","19.45","96.22K","-7.53%"
"2023- 10- 27","21.19","20.35","21.40","19.79","116.90K","3.16%"
"2023- 10- 26","20.54","20.30","21.17","20.00","120.60K","1.17%"
"2023- 10- 25","20.30","19.12","20.85","18.90","124.79K","6.36%"
"2023- 10- 24","19.09","19.75","20.05","18.91","95.14K","-4.56%"
"2023- 10- 23","20.00","20.75","21.90","19.25","131.05K","-3.50%"
"2023- 10- 20","20.73","20.65","21.15","20.10","130.20K","0.83%"
"2023- 10- 19","20.55","19.35","20.82","19.00","148.16K","11.89%"
"2023- 10- 18","18.37","18.10","18.50","17.80","2.51K","2.92%"
"2023- 10- 17","17.85","17.25","18.45","16.80","115.71K","4.01%"
"2023- 10- 16","17.16","19.15","19.36","17.04","106.03K","-10.89%"
"2023- 10- 13","19.26","16.97","20.20","16.63","175.56K","13.62%"
"2023- 10- 12","16.95","16.35","17.85","15.80","132.61K","2.70%"
"2023- 10- 11","16.50","17.06","17.75","16.35","102.90K","-2.86%"
"2023- 10- 10","16.99","17.70","17.75","16.60","94.20K","-3.73%"
"2023- 10- 09","17.65","18.65","19.60","17.60","100.82K","-2.15%"
"2023- 10- 06","18.03","18.40","19.60","17.51","135.50K","-0.91%"
"2023- 10- 05","18.20","18.75","19.50","18.15","101.14K","-1.72%"
"2023- 10- 04","18.52","19.75","20.35","18.40","137.67K","-5.79%"
"2023- 10- 03","19.66","17.85","20.05","17.55","149.16K","10.12%"
"2023- 10- 02","17.85","17.10","18.30","17.00","103.75K","0.45%"
"2023- 09- 29","17.77","17.25","17.85","16.50","125.25K","2.42%"
"2023- 09- 28","17.35","18.25","18.55","17.20","126.85K","-5.19%"
"2023- 09- 27","18.30","18.95","19.50","18.20","134.87K","-4.55%"
"2023- 09- 26","19.17","17.30","19.30","17.25","138.06K","9.58%"
"2023- 09- 25","17.50","17.50","18.21","17.15","100.47K","0.03%"
"2023- 09- 22","17.49","17.55","17.70","16.80","107.59K","0.03%"
"2023- 09- 21","17.49","16.25","17.65","16.15","144.84K","25.26%"
"2023- 09- 20","13.96","14.16","14.25","13.80","2.29K","-0.65%"
"2023- 09- 19","14.05","13.99","14.75","13.80","66.88K","-0.32%"
"2023- 09- 18","14.10","14.15","14.63","13.85","61.30K","-1.09%"
