"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 08- 16","5,578.25","5,568.50","5,586.25","5,536.50","0.34K","0.19%"
"2024- 08- 15","5,567.50","5,481.25","5,571.75","5,471.75","0.66K","1.65%"
"2024- 08- 14","5,477.00","5,457.50","5,487.75","5,438.75","0.39K","0.33%"
"2024- 08- 13","5,459.00","5,372.50","5,461.25","5,367.50","0.09K","1.66%"
"2024- 08- 12","5,369.75","5,364.25","5,396.75","5,347.75","0.63K","-0.01%"
"2024- 08- 09","5,370.25","5,348.25","5,385.25","5,319.50","0.27K","0.41%"
"2024- 08- 08","5,348.25","5,208.25","5,361.00","5,182.00","0.17K","2.31%"
"2024- 08- 07","5,227.50","5,241.50","5,359.25","5,196.75","0.66K","-0.74%"
"2024- 08- 06","5,266.25","5,250.00","5,342.00","5,221.75","0.93K","0.93%"
"2024- 08- 05","5,217.50","5,330.00","5,345.50","5,120.00","0.63K","-2.62%"
"2024- 08- 03","5,358.00","5,358.00","5,358.00","5,358.00","","-0.33%"
"2024- 08- 02","5,376.00","5,464.25","5,473.25","5,331.75","0.27K","-1.90%"
"2024- 08- 01","5,480.25","5,574.75","5,600.75","5,444.75","0.16K","-1.40%"
"2024- 07- 31","5,558.00","5,454.75","5,588.50","5,451.50","0.11K","1.56%"
"2024- 07- 30","5,472.50","5,504.50","5,527.50","5,433.00","0.11K","-0.55%"
"2024- 07- 29","5,503.00","5,496.50","5,534.50","5,481.00","0.11K","0.07%"
"2024- 07- 27","5,499.25","5,499.25","5,499.25","5,499.25","","0.00%"
"2024- 07- 26","5,499.00","5,446.00","5,528.25","5,445.25","0.04K","1.06%"
"2024- 07- 25","5,441.25","5,482.50","5,533.25","5,432.50","0.39K","-0.56%"
"2024- 07- 24","5,472.00","5,585.00","5,585.00","5,462.00","0.07K","-2.27%"
"2024- 07- 23","5,599.25","5,607.75","5,629.75","5,587.75","0.09K","-0.20%"
"2024- 07- 22","5,610.75","5,564.50","5,616.00","5,553.50","0.22K","1.04%"
"2024- 07- 20","5,552.75","5,552.75","5,552.75","5,552.75","","-0.02%"
"2024- 07- 19","5,553.75","5,602.50","5,607.50","5,542.00","0.23K","-0.73%"
"2024- 07- 18","5,594.50","5,644.00","5,664.00","5,570.25","0.03K","-0.79%"
"2024- 07- 17","5,639.00","5,715.00","5,717.75","5,631.75","0.02K","-1.37%"
"2024- 07- 16","5,717.25","5,688.75","5,721.25","5,673.00","0.19K","0.60%"
"2024- 07- 15","5,683.00","5,681.00","5,718.75","5,665.50","0.03K","0.27%"
"2024- 07- 13","5,667.50","5,667.50","5,667.50","5,667.50","","0.05%"
"2024- 07- 12","5,664.75","5,638.50","5,708.25","5,621.25","0.12K","0.44%"
"2024- 07- 11","5,639.75","5,684.25","5,707.75","5,630.00","0.09K","-0.85%"
"2024- 07- 10","5,688.00","5,631.75","5,690.50","5,630.75","0.08K","1.01%"
"2024- 07- 09","5,631.25","5,627.75","5,645.75","5,626.25","0.05K","0.11%"
"2024- 07- 08","5,625.25","5,612.00","5,637.50","5,610.75","0.21K","0.07%"
"2024- 07- 05","5,621.50","5,591.00","5,626.00","5,585.00","0.08K","0.56%"
"2024- 07- 03","5,590.25","5,563.75","5,595.75","5,559.75","","0.39%"
"2024- 07- 02","5,568.75","5,533.50","5,569.75","5,502.75","0.01K","0.63%"
"2024- 07- 01","5,533.75","5,534.25","5,541.00","5,504.50","0.01K","0.22%"
"2024- 06- 28","5,521.50","5,548.25","5,585.00","5,510.75","0.00K","-0.44%"
"2024- 06- 27","5,546.00","5,533.00","5,555.00","5,515.75","","0.05%"
"2024- 06- 26","5,543.50","5,535.00","5,551.75","5,516.25","0.01K","0.12%"
"2024- 06- 25","5,537.00","5,516.00","5,539.75","5,511.00","0.01K","0.36%"
"2024- 06- 24","5,517.00","5,538.50","5,558.50","5,510.25","0.00K","0.82%"
"2024- 06- 21","5,471.89","5,477.00","5,483.75","5,460.50","0.00K","-0.09%"
"2024- 06- 20","5,476.75","5,492.75","5,518.50","5,458.50","0.01K","-0.26%"
"2024- 06- 18","5,491.00","5,480.25","5,494.00","5,473.50","0.01K","0.23%"
"2024- 06- 17","5,478.50","5,435.50","5,494.00","5,424.75","","0.75%"
"2024- 06- 14","5,437.50","5,436.00","5,443.00","5,397.75","0.00K","-0.02%"
"2024- 06- 13","5,438.50","5,436.25","5,452.75","5,408.50","0.17K","0.20%"
"2024- 06- 12","5,427.50","5,384.50","5,454.50","5,380.00","0.00K","0.81%"
"2024- 06- 11","5,384.00","5,369.75","5,386.25","5,334.50","","0.24%"
"2024- 06- 10","5,371.25","5,351.50","5,375.75","5,338.25","0.00K","0.29%"
"2024- 06- 07","5,355.75","5,362.00","5,385.50","5,329.00","0.00K","-0.15%"
"2024- 06- 06","5,364.00","5,367.75","5,373.25","5,345.25","","-0.04%"
"2024- 06- 05","5,366.00","5,305.00","5,368.25","5,302.50","0.01K","1.17%"
"2024- 06- 04","5,304.00","5,300.25","5,312.25","5,262.00","0.08K","0.13%"
"2024- 06- 03","5,297.25","5,299.50","5,313.25","5,246.75","","0.03%"
"2024- 05- 31","5,295.50","5,250.50","5,307.00","5,205.50","","0.81%"
"2024- 05- 30","5,253.00","5,270.50","5,277.00","5,238.25","","-0.59%"
"2024- 05- 29","5,284.00","5,323.75","5,324.00","5,268.25","","-0.77%"
"2024- 05- 28","5,324.75","5,321.75","5,339.00","5,296.75","0.00K","0.06%"
"2024- 05- 24","5,321.50","5,285.75","5,329.25","5,285.75","0.00K","0.69%"
"2024- 05- 23","5,285.25","5,339.00","5,368.25","5,273.50","0.25K","-0.80%"
"2024- 05- 22","5,328.00","5,343.50","5,349.25","5,306.75","0.00K","-0.32%"
"2024- 05- 21","5,345.25","5,331.75","5,347.50","5,322.50","0.00K","0.25%"
"2024- 05- 20","5,331.75","5,329.25","5,348.25","5,323.75","0.00K","0.08%"
"2024- 05- 17","5,327.25","5,318.25","5,328.75","5,305.75","","0.13%"
"2024- 05- 16","5,320.25","5,331.50","5,349.00","5,315.50","","-0.24%"
"2024- 05- 15","5,333.00","5,268.50","5,337.25","5,266.25","","1.21%"
"2024- 05- 14","5,269.50","5,241.75","5,274.25","5,216.75","0.00K","0.46%"
"2024- 05- 13","5,245.50","5,240.50","5,264.00","5,233.25","0.01K","-0.01%"
"2024- 05- 10","5,246.25","5,240.75","5,264.00","5,232.75","","0.14%"
"2024- 05- 09","5,239.00","5,209.25","5,244.75","5,195.00","","0.50%"
"2024- 05- 08","5,212.75","5,211.75","5,218.00","5,188.75","","-0.02%"
"2024- 05- 07","5,213.75","5,204.75","5,226.75","5,202.25","","0.14%"
"2024- 05- 06","5,206.50","5,166.75","5,207.75","5,155.75","0.00K","1.00%"
"2024- 05- 03","5,154.75","5,110.25","5,166.75","5,099.25","","1.24%"
"2024- 05- 02","5,091.50","5,057.00","5,113.00","5,036.25","","0.89%"
"2024- 05- 01","5,046.50","5,050.00","5,126.75","5,037.75","","-0.40%"
"2024- 04- 30","5,067.00","5,148.50","5,148.50","5,051.00","0.00K","-1.55%"
"2024- 04- 29","5,147.00","5,140.25","5,154.25","5,118.75","","0.30%"
"2024- 04- 26","5,131.50","5,132.00","5,146.50","5,104.50","","0.97%"
"2024- 04- 25","5,082.25","5,070.00","5,132.75","5,022.25","","-0.49%"
"2024- 04- 24","5,107.50","5,115.25","5,128.75","5,072.25","","0.02%"
"2024- 04- 23","5,106.50","5,051.00","5,113.50","5,037.75","0.01K","1.17%"
"2024- 04- 22","5,047.50","5,014.25","5,076.75","5,006.00","","0.87%"
"2024- 04- 19","5,003.75","5,047.25","5,058.00","4,963.50","0.00K","-0.90%"
"2024- 04- 18","5,049.00","5,063.00","5,095.25","5,038.50","","-0.26%"
"2024- 04- 17","5,062.25","5,096.25","5,120.50","5,047.00","","-0.59%"
"2024- 04- 16","5,092.50","5,101.25","5,123.25","5,078.75","","-0.23%"
"2024- 04- 15","5,104.00","5,166.50","5,213.25","5,094.00","0.00K","-1.23%"
"2024- 04- 12","5,167.50","5,244.00","5,248.75","5,150.00","0.00K","-1.44%"
"2024- 04- 11","5,243.25","5,202.00","5,257.50","5,173.50","0.00K","0.68%"
"2024- 04- 10","5,207.75","5,264.25","5,285.00","5,176.50","0.03K","-1.00%"
"2024- 04- 09","5,260.25","5,258.00","5,274.25","5,208.25","","0.13%"
"2024- 04- 08","5,253.25","5,263.25","5,269.25","5,236.50","","0.00%"
"2024- 04- 05","5,253.00","5,199.75","5,272.50","5,191.50","","1.07%"
