"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 27","15,460.00","14,725.25","14,821.50","14,586.00","716.20K","0.16%"
"2023- 09- 26","15,436.00","14,949.00","14,949.00","14,666.25","667.62K","-1.41%"
"2023- 09- 25","15,657.00","14,880.25","14,955.75","14,782.25","568.86K","0.42%"
"2023- 09- 22","15,591.00","14,854.50","15,027.50","14,836.25","624.06K","0.03%"
"2023- 09- 21","15,586.00","15,133.25","15,149.00","14,841.00","702.74K","-1.78%"
"2023- 09- 20","15,868.00","15,375.25","15,436.25","15,127.00","605.26K","-1.39%"
"2023- 09- 19","16,092.00","15,424.25","15,442.25","15,248.50","552.07K","-0.24%"
"2023- 09- 18","16,131.00","15,382.25","15,461.00","15,330.50","509.75K","0.12%"
"2023- 09- 15","16,111.00","15,480.25","15,524.00","15,401.25","9.27K","-1.72%"
"2023- 09- 14","16,393.00","15,372.75","15,517.75","15,337.25","110.44K","0.74%"
"2023- 09- 13","16,273.00","15,308.50","15,424.25","15,212.75","190.17K","0.31%"
"2023- 09- 12","16,223.00","15,466.50","15,480.75","15,288.75","253.05K","-1.04%"
"2023- 09- 11","16,393.00","15,308.00","15,497.50","15,298.00","411.39K","7.05%"
"2023- 09- 09","15,313.00","15,313.00","15,313.00","15,313.00","","-5.55%"
"2023- 09- 08","16,213.00","15,286.25","15,390.75","15,223.00","598.48K","0.10%"
"2023- 09- 07","16,197.00","15,385.00","15,395.75","15,157.50","644.89K","-0.72%"
"2023- 09- 06","16,315.00","15,511.25","15,533.00","15,310.50","596.50K","-0.83%"
"2023- 09- 05","16,451.00","15,517.00","15,586.75","15,418.25","604.89K","5.95%"
"2023- 09- 04","15,526.75","15,517.25","15,578.25","15,511.25","80.73K","0.07%"
"2023- 09- 03","15,516.50","15,516.25","15,525.50","15,501.00","3.90K","-5.57%"
"2023- 09- 01","16,431.00","15,534.00","15,661.25","15,454.00","572.69K","-0.14%"
"2023- 08- 31","16,454.00","15,513.75","15,606.75","15,460.00","584.74K","0.24%"
"2023- 08- 30","16,415.00","15,427.50","15,522.75","15,361.50","590.19K","0.53%"
"2023- 08- 29","16,329.00","15,098.75","15,430.50","15,049.75","616.22K","2.04%"
"2023- 08- 28","16,002.00","14,991.00","15,126.50","14,973.50","586.34K","0.72%"
"2023- 08- 25","15,888.00","14,833.00","15,048.75","14,751.75","823.89K","0.75%"
"2023- 08- 24","15,770.00","15,333.00","15,418.00","14,817.00","847.31K","-2.08%"
"2023- 08- 23","16,105.00","14,959.75","15,356.75","14,957.25","606.17K","1.51%"
